Category,Value
Type,Nomadic
Daily Driving Distance,325.783931871994
Annual Kilometers Driven,71672.46501183868
Public Fast Charging Ratio,1
Daily Range,324.88879577246587
Daily Battery Capacity,419.20000000000005
Daily Time,7.304545454545455
Charger Cost per km,5.161150590044779
Maintenance Cost per km,1.4
Driver Cost per km,7.621048053946195
Road Tax per km,0.030151048936897195
Truck Financing Cost per km,2.6674247584294015
Battery Financing Cost per km,5.110793409683759
Total Cost per km,21.96041681210414
Total Cost per month,131163.10046757731
Total Cost per year,1573957.2056109277
TCO,7110845.665815858
TCO per km,14.173296466763883
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
